<TICKER> <PER> <DATE> <TIME> <CLOSE>
XAU D 20011221 000000 277.9000000
XAU D 20011224 000000 277.8000000
XAU D 20011226 000000 279.0000000
XAU D 20011227 000000 276.8000000
XAU D 20011228 000000 276.3000000
XAU D 20011231 000000 278.7000000
XAU D 20020102 000000 278.5000000
XAU D 20020103 000000 278.2000000
XAU D 20020104 000000 278.7000000
XAU D 20020107 000000 278.5000000
XAU D 20020108 000000 278.8000000
XAU D 20020109 000000 282.9000000
XAU D 20020110 000000 286.4500000
XAU D 20020111 000000 287.3000000
XAU D 20020114 000000 285.1000000
XAU D 20020115 000000 284.0000000
XAU D 20020116 000000 287.3000000
XAU D 20020117 000000 284.2000000
XAU D 20020118 000000 283.3000000
XAU D 20020122 000000 281.4500000
XAU D 20020123 000000 279.0000000
XAU D 20020124 000000 278.5500000
XAU D 20020125 000000 279.2000000
XAU D 20020128 000000 278.6000000
XAU D 20020129 000000 281.6000000
XAU D 20020130 000000 281.8000000
XAU D 20020131 000000 282.3000000
XAU D 20020201 000000 286.0000000
XAU D 20020202 000000 285.2500000
XAU D 20020204 000000 289.4000000
XAU D 20020205 000000 297.5000000
XAU D 20020206 000000 296.4000000
XAU D 20020207 000000 301.0000000
XAU D 20020208 000000 303.5000000
XAU D 20020209 000000 303.5000000
XAU D 20020211 000000 299.8000000
XAU D 20020212 000000 300.0000000
XAU D 20020213 000000 299.0000000
XAU D 20020214 000000 299.5000000
XAU D 20020215 000000 297.6000000
XAU D 20020217 000000 298.5000000
XAU D 20020218 000000 297.5000000
XAU D 20020219 000000 292.8500000
XAU D 20020220 000000 291.2000000
XAU D 20020221 000000 292.5000000
XAU D 20020222 000000 292.5000000
XAU D 20020223 000000 292.7500000
XAU D 20020224 000000 292.7500000
XAU D 20020225 000000 292.0500000
XAU D 20020226 000000 297.5000000
XAU D 20020227 000000 296.1000000
XAU D 20020228 000000 296.3000000
XAU D 20020301 000000 297.9000000
XAU D 20020302 000000 297.6000000
XAU D 20020303 000000 297.6000000
XAU D 20020304 000000 296.6000000
XAU D 20020305 000000 293.7000000
XAU D 20020306 000000 293.2500000
XAU D 20020307 000000 290.0000000
XAU D 20020308 000000 289.5000000
XAU D 20020310 000000 289.3500000
XAU D 20020311 000000 290.6000000
XAU D 20020312 000000 293.0500000
XAU D 20020313 000000 293.3000000
XAU D 20020314 000000 290.6500000
XAU D 20020315 000000 289.8000000
XAU D 20020316 000000 289.8000000
XAU D 20020317 000000 289.8000000
XAU D 20020318 000000 292.1500000
XAU D 20020319 000000 292.8000000
XAU D 20020320 000000 292.2000000
XAU D 20020321 000000 292.9000000
XAU D 20020322 000000 297.5000000
XAU D 20020323 000000 297.4000000
XAU D 20020325 000000 298.0000000
XAU D 20020326 000000 296.4000000
XAU D 20020327 000000 301.9000000
XAU D 20020328 000000 302.4000000
XAU D 20020329 000000 302.2500000
XAU D 20020330 000000 302.2500000
XAU D 20020401 000000 303.1000000
XAU D 20020402 000000 305.6000000
XAU D 20020403 000000 302.0500000
XAU D 20020404 000000 300.7500000
XAU D 20020405 000000 299.8000000
XAU D 20020406 000000 299.8500000
XAU D 20020408 000000 300.2500000
XAU D 20020409 000000 298.3000000
XAU D 20020410 000000 301.0000000
XAU D 20020411 000000 302.3500000
XAU D 20020412 000000 301.9000000
XAU D 20020413 000000 301.9000000
XAU D 20020415 000000 299.6000000
XAU D 20020416 000000 298.7500000
XAU D 20020417 000000 301.8000000
XAU D 20020418 000000 303.4000000
XAU D 20020419 000000 302.1000000
XAU D 20020421 000000 301.5000000
XAU D 20020422 000000 302.6500000
XAU D 20020423 000000 303.4000000
XAU D 20020424 000000 303.8000000
XAU D 20020425 000000 307.4000000
XAU D 20020426 000000 311.1000000
XAU D 20020427 000000 310.7500000
XAU D 20020429 000000 310.7000000
XAU D 20020430 000000 307.7500000
XAU D 20020501 000000 308.2500000
XAU D 20020502 000000 307.6000000
XAU D 20020503 000000 311.7000000
XAU D 20020506 000000 311.2000000
XAU D 20020507 000000 311.1000000
XAU D 20020508 000000 307.7500000
