<TICKER> <PER> <DATE> <TIME> <CLOSE>
USDRUB D 20011005 000000 29.2700000
USDRUB D 20011008 000000 29.2600000
USDRUB D 20011009 000000 29.5100000
USDRUB D 20011010 000000 29.5200000
USDRUB D 20011011 000000 29.5300000
USDRUB D 20011012 000000 29.5200000
USDRUB D 20011015 000000 29.5100000
USDRUB D 20011016 000000 29.5200000
USDRUB D 20011017 000000 29.5600000
USDRUB D 20011018 000000 29.5400000
USDRUB D 20011019 000000 29.5600000
USDRUB D 20011022 000000 29.5600000
USDRUB D 20011023 000000 29.5500000
USDRUB D 20011024 000000 29.5700000
USDRUB D 20011025 000000 29.6300000
USDRUB D 20011026 000000 29.7000000
USDRUB D 20011029 000000 29.6800000
USDRUB D 20011030 000000 29.6800000
USDRUB D 20011031 000000 29.7100000
USDRUB D 20011101 000000 29.7400000
USDRUB D 20011102 000000 29.7400000
USDRUB D 20011105 000000 29.7000000
USDRUB D 20011106 000000 29.5000000
USDRUB D 20011107 000000 29.5000000
USDRUB D 20011108 000000 29.7100000
USDRUB D 20011109 000000 29.7200000
USDRUB D 20011112 000000 29.7300000
USDRUB D 20011113 000000 29.7200000
USDRUB D 20011114 000000 29.7600000
USDRUB D 20011115 000000 29.8000000
USDRUB D 20011116 000000 29.8000000
USDRUB D 20011119 000000 29.8200000
USDRUB D 20011120 000000 29.8200000
USDRUB D 20011121 000000 29.9200000
USDRUB D 20011122 000000 29.7600000
USDRUB D 20011123 000000 29.9300000
USDRUB D 20011126 000000 29.9300000
USDRUB D 20011127 000000 29.9300000
USDRUB D 20011128 000000 29.9300000
USDRUB D 20011129 000000 29.9300000
USDRUB D 20011130 000000 29.9300000
USDRUB D 20011203 000000 29.9500000
USDRUB D 20011204 000000 29.9500000
USDRUB D 20011205 000000 29.9400000
USDRUB D 20011206 000000 29.9600000
USDRUB D 20011207 000000 30.0600000
USDRUB D 20011210 000000 30.1000000
USDRUB D 20011211 000000 29.8300000
USDRUB D 20011212 000000 30.0600000
USDRUB D 20011213 000000 30.3300000
USDRUB D 20011214 000000 30.3400000
USDRUB D 20011217 000000 30.3300000
USDRUB D 20011218 000000 30.3300000
USDRUB D 20011219 000000 30.3300000
USDRUB D 20011220 000000 30.3300000
USDRUB D 20011221 000000 30.1800000
USDRUB D 20011224 000000 30.1800000
USDRUB D 20011225 000000 29.7600000
USDRUB D 20011226 000000 30.1800000
USDRUB D 20011227 000000 30.1800000
USDRUB D 20011228 000000 30.1800000
USDRUB D 20011231 000000 30.2000000
USDRUB D 20020102 000000 30.4800000
USDRUB D 20020103 000000 30.6000000
USDRUB D 20020104 000000 30.5200000
USDRUB D 20020107 000000 30.5200000
USDRUB D 20020108 000000 30.6100000
USDRUB D 20020109 000000 30.5300000
USDRUB D 20020110 000000 30.5300000
USDRUB D 20020111 000000 30.4800000
USDRUB D 20020114 000000 30.4700000
USDRUB D 20020115 000000 30.4900000
USDRUB D 20020116 000000 30.5100000
USDRUB D 20020117 000000 30.5700000
USDRUB D 20020118 000000 30.6000000
USDRUB D 20020121 000000 30.6050000
USDRUB D 20020122 000000 30.5800000
USDRUB D 20020123 000000 30.5600000
USDRUB D 20020124 000000 30.6100000
USDRUB D 20020125 000000 30.6100000
USDRUB D 20020128 000000 30.6100000
USDRUB D 20020129 000000 30.6600000
USDRUB D 20020130 000000 30.7000000
USDRUB D 20020131 000000 30.7000000
USDRUB D 20020201 000000 30.7200000
USDRUB D 20020204 000000 30.7300000
USDRUB D 20020205 000000 30.7400000
USDRUB D 20020206 000000 30.7400000
USDRUB D 20020207 000000 30.7500000
USDRUB D 20020208 000000 30.7500000
USDRUB D 20020211 000000 30.8400000
USDRUB D 20020212 000000 30.8700000
USDRUB D 20020213 000000 30.8700000
USDRUB D 20020214 000000 30.8700000
USDRUB D 20020215 000000 30.8700000
USDRUB D 20020218 000000 30.8900000
USDRUB D 20020219 000000 30.8700000
USDRUB D 20020220 000000 30.8700000
USDRUB D 20020221 000000 30.8700000
USDRUB D 20020222 000000 30.9400000
USDRUB D 20020225 000000 30.9500000
USDRUB D 20020226 000000 30.9400000
USDRUB D 20020227 000000 30.9500000
USDRUB D 20020228 000000 30.9600000
USDRUB D 20020301 000000 31.0200000
USDRUB D 20020303 000000 30.7800000
USDRUB D 20020304 000000 31.0100000
USDRUB D 20020305 000000 31.0200000
USDRUB D 20020306 000000 31.0200000
USDRUB D 20020307 000000 31.0200000
USDRUB D 20020308 000000 31.0200000
USDRUB D 20020311 000000 31.0200000
USDRUB D 20020312 000000 31.0900000
USDRUB D 20020313 000000 31.1000000
USDRUB D 20020314 000000 31.1000000
USDRUB D 20020315 000000 31.0900000
USDRUB D 20020318 000000 31.1000000
USDRUB D 20020319 000000 31.1600000
USDRUB D 20020320 000000 31.1700000
USDRUB D 20020321 000000 31.1800000
USDRUB D 20020322 000000 31.1800000
USDRUB D 20020325 000000 31.1500000
USDRUB D 20020326 000000 31.1500000
USDRUB D 20020327 000000 31.1100000
USDRUB D 20020328 000000 31.1100000
USDRUB D 20020329 000000 31.1100000
USDRUB D 20020401 000000 29.6300000
